Date;Filière;Valeur (TWh)
2023-08;"Consommation corrigée";30,377
2023-09;"Consommation corrigée";30,358
2023-10;"Consommation corrigée";34,579
2023-11;"Consommation corrigée";41,118
2023-12;"Consommation corrigée";48,027
2024-01;"Consommation corrigée";49,961
2024-02;"Consommation corrigée";43,913
2024-03;"Consommation corrigée";40,69
1995-01;"Consommation brute";40,512
1995-02;"Consommation brute";32,603
1995-03;"Consommation brute";36,253
1995-04;"Consommation brute";31,169
1995-05;"Consommation brute";28,595
1995-06;"Consommation brute";27,657
1995-07;"Consommation brute";27,913
1995-08;"Consommation brute";25,881
1995-09;"Consommation brute";27,857
1995-10;"Consommation brute";29,795
1995-11;"Consommation brute";34,59
1995-12;"Consommation brute";38,918
1996-01;"Consommation brute";39,995
1996-02;"Consommation brute";39,075
1996-03;"Consommation brute";37,183
1996-04;"Consommation brute";31,476
1996-05;"Consommation brute";29,776
1996-06;"Consommation brute";27,388
1996-07;"Consommation brute";28,581
1996-08;"Consommation brute";25,54
1996-09;"Consommation brute";28,277
1996-10;"Consommation brute";32,182
1996-11;"Consommation brute";36,164
1996-12;"Consommation brute";41,14
1997-01;"Consommation brute";43,871
1997-02;"Consommation brute";35,245
1997-03;"Consommation brute";33,127
1997-04;"Consommation brute";31,882
1997-05;"Consommation brute";29,055
1997-06;"Consommation brute";28,193
1997-07;"Consommation brute";29,221
1997-08;"Consommation brute";26,929
1997-09;"Consommation brute";28,346
1997-10;"Consommation brute";32,881
1997-11;"Consommation brute";35,443
1997-12;"Consommation brute";39,751
1998-01;"Consommation brute";41,152
1998-02;"Consommation brute";36,35
1998-03;"Consommation brute";36,923
1998-04;"Consommation brute";34,378
1998-05;"Consommation brute";29,758
1998-06;"Consommation brute";29,053
1998-07;"Consommation brute";29,989
1998-08;"Consommation brute";27,321
1998-09;"Consommation brute";29,616
1998-10;"Consommation brute";34,079
1998-11;"Consommation brute";38,736
1998-12;"Consommation brute";42,439
1999-01;"Consommation brute";41,375
1999-02;"Consommation brute";38,67
1999-03;"Consommation brute";37,674
1999-04;"Consommation brute";33,943
1999-05;"Consommation brute";29,841
1999-06;"Consommation brute";29,908
1999-07;"Consommation brute";30,723
1999-08;"Consommation brute";27,796
1999-09;"Consommation brute";30,298
1999-10;"Consommation brute";34,217
1999-11;"Consommation brute";39,001
1999-12;"Consommation brute";42,558
2000-01;"Consommation brute";44,537
2000-02;"Consommation brute";39,094
2000-03;"Consommation brute";38,772
2000-04;"Consommation brute";35,156
2000-05;"Consommation brute";31,482
2000-06;"Consommation brute";30,142
2000-07;"Consommation brute";30,752
2000-08;"Consommation brute";29,035
2000-09;"Consommation brute";30,734
2000-10;"Consommation brute";35,243
2000-11;"Consommation brute";39,383
2000-12;"Consommation brute";40,9
2001-01;"Consommation brute";44,337
2001-02;"Consommation brute";39,032
2001-03;"Consommation brute";39,372
2001-04;"Consommation brute";35,782
2001-05;"Consommation brute";32,312
2001-06;"Consommation brute";30,607
2001-07;"Consommation brute";31,244
2001-08;"Consommation brute";29,203
2001-09;"Consommation brute";31,43
2001-10;"Consommation brute";33,837
2001-11;"Consommation brute";40,808
2001-12;"Consommation brute";46,294
2002-01;"Consommation brute";46,25
2002-02;"Consommation brute";38,52
2002-03;"Consommation brute";39,02
2002-04;"Consommation brute";35,084
2002-05;"Consommation brute";32,874
2002-06;"Consommation brute";31,37
2002-07;"Consommation brute";32,426
2002-08;"Consommation brute";29,124
2002-09;"Consommation brute";31,512
2002-10;"Consommation brute";36,171
2002-11;"Consommation brute";38,517
2002-12;"Consommation brute";43,301
2003-01;"Consommation brute";48,217
2003-02;"Consommation brute";43,525
2003-03;"Consommation brute";39,138
2003-04;"Consommation brute";35,572
2003-05;"Consommation brute";32,219
2003-06;"Consommation brute";31,623
2003-07;"Consommation brute";32,84
2003-08;"Consommation brute";30,118
2003-09;"Consommation brute";31,716
2003-10;"Consommation brute";38,537
2003-11;"Consommation brute";39,941
2003-12;"Consommation brute";45,575
2004-01;"Consommation brute";47,582
2004-02;"Consommation brute";43,08
2004-03;"Consommation brute";44,197
2004-04;"Consommation brute";36,98
2004-05;"Consommation brute";33,744
2004-06;"Consommation brute";32,284
2004-07;"Consommation brute";32,912
2004-08;"Consommation brute";30,038
2004-09;"Consommation brute";32,63
2004-10;"Consommation brute";36,457
2004-11;"Consommation brute";41,886
2004-12;"Consommation brute";47,997
2005-01;"Consommation brute";48,138
2005-02;"Consommation brute";45,448
2005-03;"Consommation brute";44,096
2005-04;"Consommation brute";36,898
2005-05;"Consommation brute";33,495
2005-06;"Consommation brute";32,853
2005-07;"Consommation brute";32,932
2005-08;"Consommation brute";30,268
2005-09;"Consommation brute";32,723
2005-10;"Consommation brute";35,034
2005-11;"Consommation brute";42,088
2005-12;"Consommation brute";50,431
2006-01;"Consommation brute";51,569947
2006-02;"Consommation brute";45,976895
2006-03;"Consommation brute";46,079028
2006-04;"Consommation brute";36,565784
2006-05;"Consommation brute";33,870529
2006-06;"Consommation brute";33,144218
2006-07;"Consommation brute";34,112764
2006-08;"Consommation brute";30,573364
2006-09;"Consommation brute";32,933167
2006-10;"Consommation brute";35,449664
2006-11;"Consommation brute";40,423994
2006-12;"Consommation brute";47,657162
2007-01;"Consommation brute";47,068
2007-02;"Consommation brute";41,647
2007-03;"Consommation brute";43,471
2007-04;"Consommation brute";34,883
2007-05;"Consommation brute";34,016
2007-06;"Consommation brute";32,957
2007-07;"Consommation brute";33,767
2007-08;"Consommation brute";31,347
2007-09;"Consommation brute";33,51
2007-10;"Consommation brute";39,361
2007-11;"Consommation brute";44,871
2007-12;"Consommation brute";50,433
2008-01;"Consommation brute";49,245030351
2008-02;"Consommation brute";44,692786331
2008-03;"Consommation brute";45,6908854
2008-04;"Consommation brute";40,177661285
2008-05;"Consommation brute";33,83322976
2008-06;"Consommation brute";33,275318151
2008-07;"Consommation brute";34,393070863
2008-08;"Consommation brute";31,316895418
2008-09;"Consommation brute";34,159632281
2008-10;"Consommation brute";39,510974338
2008-11;"Consommation brute";43,629386197
2008-12;"Consommation brute";50,852667107
2009-01;"Consommation brute";54,125
2009-02;"Consommation brute";45,982
2009-03;"Consommation brute";43,343
2009-04;"Consommation brute";35,878
2009-05;"Consommation brute";32,884
2009-06;"Consommation brute";32,299
2009-07;"Consommation brute";33,629
2009-08;"Consommation brute";31,287
2009-09;"Consommation brute";32,946
2009-10;"Consommation brute";38,027
2009-11;"Consommation brute";41,169
2009-12;"Consommation brute";50,247
2010-01;"Consommation brute";55,737
2010-02;"Consommation brute";48,129
2010-03;"Consommation brute";47,2
2010-04;"Consommation brute";37,507
2010-05;"Consommation brute";36,112
2010-06;"Consommation brute";33,214
2010-07;"Consommation brute";34,537
2010-08;"Consommation brute";31,562
2010-09;"Consommation brute";33,63
2010-10;"Consommation brute";39,425
2010-11;"Consommation brute";45,184
2010-12;"Consommation brute";56,588
2011-01;"Consommation brute";53,269
2011-02;"Consommation brute";45,388
2011-03;"Consommation brute";44,948
2011-04;"Consommation brute";34,862
2011-05;"Consommation brute";34,516
2011-06;"Consommation brute";33,193
2011-07;"Consommation brute";33,602
2011-08;"Consommation brute";32,027
2011-09;"Consommation brute";33,652
2011-10;"Consommation brute";37,38
2011-11;"Consommation brute";41,256
2011-12;"Consommation brute";47,644
2012-01;"Consommation brute";50,617
2012-02;"Consommation brute";54,055
2012-03;"Consommation brute";42,707
2012-04;"Consommation brute";39,741
2012-05;"Consommation brute";34,897
2012-06;"Consommation brute";33,176
2012-07;"Consommation brute";34,12
2012-08;"Consommation brute";32,226
2012-09;"Consommation brute";33,249
2012-10;"Consommation brute";38,607
2012-11;"Consommation brute";44,237
2012-12;"Consommation brute";49,573
2013-01;"Consommation brute";53,589
2013-02;"Consommation brute";49,61
2013-03;"Consommation brute";49,451
2013-04;"Consommation brute";40,265
2013-05;"Consommation brute";36,794
2013-06;"Consommation brute";32,943
2013-07;"Consommation brute";34,718
2013-08;"Consommation brute";31,557
2013-09;"Consommation brute";33,163
2013-10;"Consommation brute";37,03
2013-11;"Consommation brute";45,273
2013-12;"Consommation brute";50,069
2014-01;"Consommation brute";49,166
2014-02;"Consommation brute";44,393
2014-03;"Consommation brute";42,858
2014-04;"Consommation brute";36,082
2014-05;"Consommation brute";34,47
2014-06;"Consommation brute";32,391
2014-07;"Consommation brute";33,728
2014-08;"Consommation brute";30,822
2014-09;"Consommation brute";33,077
2014-10;"Consommation brute";36,149
2014-11;"Consommation brute";40,435
2014-12;"Consommation brute";49,167
2015-01;"Consommation brute";52,327
2015-02;"Consommation brute";48,509
2015-03;"Consommation brute";45,559
2015-04;"Consommation brute";36,736
2015-05;"Consommation brute";33,761
2015-06;"Consommation brute";33,093
2015-07;"Consommation brute";34,762
2015-08;"Consommation brute";31,473
2015-09;"Consommation brute";33,37
2015-10;"Consommation brute";39,038
2015-11;"Consommation brute";40,91
2015-12;"Consommation brute";44,549
2016-01;"Consommation brute";50,079
2016-02;"Consommation brute";46,359
2016-03;"Consommation brute";47,19
2016-04;"Consommation brute";39,014
2016-05;"Consommation brute";34,683
2016-06;"Consommation brute";32,775
2016-07;"Consommation brute";33,656
2016-08;"Consommation brute";32,082
2016-09;"Consommation brute";33,195
2016-10;"Consommation brute";38,54
2016-11;"Consommation brute";44,227
2016-12;"Consommation brute";50,604
2017-01;"Consommation brute";57,335
2017-02;"Consommation brute";43,802
2017-03;"Consommation brute";42,668
2017-04;"Consommation brute";36,557
2017-05;"Consommation brute";34,95
2017-06;"Consommation brute";33,289
2017-07;"Consommation brute";33,806
2017-08;"Consommation brute";32,044
2017-09;"Consommation brute";33,564
2017-10;"Consommation brute";36,549
2017-11;"Consommation brute";44,866
2017-12;"Consommation brute";51,652
2018-01;"Consommation brute";48,591
2018-02;"Consommation brute";50,07
2018-03;"Consommation brute";48,346
2018-04;"Consommation brute";36,192
2018-05;"Consommation brute";33,898
2018-06;"Consommation brute";32,523
2018-07;"Consommation brute";34,535
2018-08;"Consommation brute";32,359
2018-09;"Consommation brute";32,621
2018-10;"Consommation brute";37,012
2018-11;"Consommation brute";43,654
2018-12;"Consommation brute";47,442
2019-01;"Consommation brute";54,015
2019-02;"Consommation brute";44,183
2019-03;"Consommation brute";43,008
2019-04;"Consommation brute";37,823
2019-05;"Consommation brute";35,498
2019-06;"Consommation brute";32,468
2019-07;"Consommation brute";34,514
2019-08;"Consommation brute";31,487
2019-09;"Consommation brute";32,122
2019-10;"Consommation brute";36,25
2019-11;"Consommation brute";43,819
2019-12;"Consommation brute";46,847
2020-01;"Consommation brute";49,607
2020-02;"Consommation brute";43,265
2020-03;"Consommation brute";41,388
2020-04;"Consommation brute";30,602
2020-05;"Consommation brute";30,583
2020-06;"Consommation brute";30,729
2020-07;"Consommation brute";32,944
2020-08;"Consommation brute";31,416
2020-09;"Consommation brute";32,29
2020-10;"Consommation brute";38,314
2020-11;"Consommation brute";39,808
2020-12;"Consommation brute";47,608
2021-01;"Consommation brute";52,938
2021-02;"Consommation brute";42,975
2021-03;"Consommation brute";43,834
2021-04;"Consommation brute";37,691
2021-05;"Consommation brute";34,952
2021-06;"Consommation brute";31,997
2021-07;"Consommation brute";32,909
2021-08;"Consommation brute";31,159
2021-09;"Consommation brute";32,318
2021-10;"Consommation brute";36,817
2021-11;"Consommation brute";44,521
2021-12;"Consommation brute";49,476
2022-01;"Consommation brute";52,498
2022-02;"Consommation brute";43,196
2022-03;"Consommation brute";42,936
2022-04;"Consommation brute";37,115
2022-05;"Consommation brute";32,814
2022-06;"Consommation brute";32,278
2022-07;"Consommation brute";33,635
2022-08;"Consommation brute";31,766
2022-09;"Consommation brute";31,676
2022-10;"Consommation brute";32,309
2022-11;"Consommation brute";37,091
2022-12;"Consommation brute";46,077
2023-01;"Consommation brute";46,998
2023-02;"Consommation brute";41,837
2023-03;"Consommation brute";40,812
2023-04;"Consommation brute";35,238
2023-05;"Consommation brute";31,635
2023-06;"Consommation brute";30,781
2023-07;"Consommation brute";32,147
2023-08;"Consommation brute";30,801
2023-09;"Consommation brute";31,154
2023-10;"Consommation brute";33,201
2023-11;"Consommation brute";39,562
2023-12;"Consommation brute";44,492
2024-01;"Consommation brute";48,866
2024-02;"Consommation brute";40,217
2024-03;"Consommation brute";38,586
